,date_open,price_open,type,date_close,price_close
0,2022-03-30 11:03:00,4613.06,buy,2022-03-30 11:47:00,4610.51
1,2022-03-30 15:14:00,4611.28,sell,2022-03-30 15:27:00,4610.28
2,2022-03-30 15:36:00,4616.86,buy,2022-03-30 15:44:00,4614.59
3,2022-03-30 16:20:00,4617.78,buy,2022-03-30 16:36:00,4619.57
4,2022-03-30 16:38:00,4615.27,sell,2022-03-30 16:48:00,4619.86
5,2022-03-30 17:08:00,4619.76,sell,2022-03-30 17:14:00,4624.86
6,2022-03-30 17:25:00,4618.06,sell,2022-03-30 17:36:00,4619.88
7,2022-03-30 17:58:00,4615.13,sell,2022-03-30 18:13:00,4607.55
8,2022-03-30 18:39:00,4611.84,buy,2022-03-30 18:53:00,4609.76
9,2022-03-30 19:02:00,4616.62,buy,2022-03-30 19:07:00,4608.22
10,2022-03-30 19:44:00,4616.53,buy,2022-03-30 19:47:00,4615.71
11,2022-03-30 20:08:00,4609.17,sell,2022-03-30 20:14:00,4612.47
12,2022-03-30 20:26:00,4605.89,sell,2022-03-30 20:33:00,4607.48
13,2022-03-30 21:09:00,4607.75,buy,2022-03-30 21:16:00,4604.07
14,2022-03-30 21:20:00,4602.63,sell,2022-03-30 21:30:00,4603.32
15,2022-03-30 21:44:00,4599.47,sell,2022-03-30 21:55:00,4599.69
16,2022-03-30 22:19:00,4588.13,sell,2022-03-30 22:27:00,4587.98
17,2022-03-31 03:14:00,4609.4,buy,2022-03-31 03:48:00,4616.5
18,2022-03-31 10:18:00,4617.89,buy,2022-03-31 10:29:00,4615.12
19,2022-03-31 15:41:00,4601.08,sell,2022-03-31 15:58:00,4602.92
20,2022-03-31 16:14:00,4599.63,sell,2022-03-31 16:24:00,4600.0
21,2022-03-31 16:34:00,4593.24,sell,2022-03-31 16:40:00,4592.38
22,2022-03-31 17:00:00,4585.88,sell,2022-03-31 17:12:00,4584.99
23,2022-03-31 17:34:00,4593.62,buy,2022-03-31 17:41:00,4589.45
24,2022-03-31 18:10:00,4595.57,sell,2022-03-31 18:22:00,4596.35
25,2022-03-31 18:35:00,4588.96,sell,2022-03-31 18:38:00,4591.91
26,2022-03-31 18:42:00,4597.75,buy,2022-03-31 18:48:00,4593.07
27,2022-03-31 19:13:00,4588.81,sell,2022-03-31 19:29:00,4585.51
28,2022-03-31 20:34:00,4584.82,buy,2022-03-31 20:36:00,4583.41
29,2022-03-31 20:51:00,4590.0,buy,2022-03-31 20:57:00,4586.61
30,2022-03-31 21:00:00,4582.02,sell,2022-03-31 21:13:00,4578.5
31,2022-03-31 22:00:00,4585.58,buy,2022-03-31 22:05:00,4583.72
32,2022-04-01 09:22:00,4549.8,buy,2022-04-01 09:30:00,4549.54
33,2022-04-01 10:33:00,4548.85,sell,2022-04-01 10:40:00,4549.63
34,2022-04-01 12:31:00,4557.9,buy,2022-04-01 12:45:00,4555.95
35,2022-04-01 15:32:00,4551.07,sell,2022-04-01 15:38:00,4552.77
36,2022-04-01 16:15:00,4550.19,buy,2022-04-01 16:24:00,4549.7
37,2022-04-01 16:33:00,4544.08,buy,2022-04-01 16:34:00,4541.57
38,2022-04-01 17:35:00,4531.21,buy,2022-04-01 17:40:00,4527.57
39,2022-04-01 17:47:00,4532.74,buy,2022-04-01 17:59:00,4535.57
40,2022-04-01 18:21:00,4537.69,buy,2022-04-01 18:27:00,4533.06
41,2022-04-01 18:31:00,4530.84,sell,2022-04-01 18:47:00,4523.56
42,2022-04-01 18:56:00,4519.55,sell,2022-04-01 19:10:00,4514.92
43,2022-04-01 19:33:00,4512.37,sell,2022-04-01 19:42:00,4515.26
44,2022-04-01 20:11:00,4509.88,sell,2022-04-01 20:23:00,4512.37
45,2022-04-01 20:38:00,4521.02,buy,2022-04-01 20:45:00,4520.39
46,2022-04-01 21:03:00,4526.01,buy,2022-04-01 21:10:00,4527.96
47,2022-04-01 21:30:00,4538.39,buy,2022-04-01 21:37:00,4536.06
48,2022-04-01 21:58:00,4532.06,sell,2022-04-01 22:02:00,4539.77
49,2022-04-01 22:06:00,4538.99,buy,2022-04-01 22:11:00,4531.51
50,2022-04-01 22:35:00,4522.14,sell,2022-04-01 22:40:00,4526.6
51,2022-04-01 22:49:00,4526.97,buy,2022-04-01 23:07:00,4541.95
52,2022-04-01 23:16:00,4540.25,sell,2022-04-01 23:21:00,4540.5
53,2022-04-04 10:08:00,4544.86,sell,2022-04-04 10:18:00,4539.69
54,2022-04-04 11:44:00,4538.65,sell,2022-04-04 11:52:00,4541.47
55,2022-04-04 12:07:00,4547.46,buy,2022-04-04 12:17:00,4551.06
56,2022-04-04 15:47:00,4546.21,sell,2022-04-04 15:52:00,4547.91
57,2022-04-04 16:31:00,4543.53,sell,2022-04-04 16:36:00,4543.4
58,2022-04-04 17:16:00,4553.31,sell,2022-04-04 17:21:00,4557.4
59,2022-04-04 17:46:00,4558.84,sell,2022-04-04 17:48:00,4562.92
60,2022-04-04 18:04:00,4566.44,buy,2022-04-04 18:12:00,4563.99
61,2022-04-04 19:42:00,4567.05,sell,2022-04-04 19:50:00,4567.51
62,2022-04-04 21:09:00,4566.94,sell,2022-04-04 21:17:00,4570.44
63,2022-04-04 22:51:00,4582.42,buy,2022-04-04 22:55:00,4578.61
64,2022-04-05 10:29:00,4583.9,buy,2022-04-05 10:46:00,4588.24
65,2022-04-05 12:46:00,4573.76,sell,2022-04-05 12:52:00,4574.95
66,2022-04-05 16:31:00,4577.5,buy,2022-04-05 16:48:00,4583.33
67,2022-04-05 17:01:00,4588.9,buy,2022-04-05 17:05:00,4579.71
68,2022-04-05 17:39:00,4554.03,sell,2022-04-05 17:46:00,4560.2
69,2022-04-05 17:48:00,4562.62,buy,2022-04-05 17:59:00,4566.1
70,2022-04-05 18:10:00,4559.53,sell,2022-04-05 18:12:00,4563.78
71,2022-04-05 18:37:00,4556.7,sell,2022-04-05 18:52:00,4555.55
72,2022-04-05 18:59:00,4550.55,sell,2022-04-05 19:05:00,4552.29
73,2022-04-05 19:19:00,4545.85,sell,2022-04-05 19:32:00,4544.09
74,2022-04-05 19:54:00,4550.04,buy,2022-04-05 20:01:00,4548.84
75,2022-04-05 20:08:00,4556.14,buy,2022-04-05 20:24:00,4558.82
76,2022-04-05 20:31:00,4554.79,sell,2022-04-05 20:56:00,4544.33
77,2022-04-05 21:20:00,4547.8,buy,2022-04-05 21:28:00,4546.07
78,2022-04-05 21:33:00,4543.69,sell,2022-04-05 21:42:00,4543.66
79,2022-04-05 22:02:00,4539.81,sell,2022-04-05 22:17:00,4530.57
80,2022-04-05 22:30:00,4526.26,sell,2022-04-05 22:45:00,4522.64
81,2022-04-05 22:48:00,4517.65,sell,2022-04-05 22:51:00,4521.37
82,2022-04-06 09:42:00,4532.67,buy,2022-04-06 09:46:00,4531.72
83,2022-04-06 10:32:00,4520.8,sell,2022-04-06 10:42:00,4513.02
84,2022-04-06 10:55:00,4506.49,sell,2022-04-06 11:01:00,4508.38
85,2022-04-06 11:20:00,4504.6,sell,2022-04-06 11:27:00,4506.56
86,2022-04-06 11:51:00,4508.63,buy,2022-04-06 12:04:00,4508.67
87,2022-04-06 12:15:00,4503.66,sell,2022-04-06 12:17:00,4504.71
88,2022-04-06 12:48:00,4497.34,sell,2022-04-06 12:53:00,4496.39
89,2022-04-06 13:00:00,4500.76,buy,2022-04-06 13:09:00,4500.75
90,2022-04-06 13:16:00,4495.79,sell,2022-04-06 13:24:00,4496.35
91,2022-04-06 14:14:00,4487.71,sell,2022-04-06 14:19:00,4489.13
92,2022-04-06 16:32:00,4479.71,sell,2022-04-06 16:54:00,4472.82
93,2022-04-06 17:01:00,4466.04,sell,2022-04-06 17:14:00,4465.11
94,2022-04-06 17:16:00,4469.86,buy,2022-04-06 17:26:00,4468.01
95,2022-04-06 17:42:00,4470.54,buy,2022-04-06 17:52:00,4468.06
96,2022-04-06 17:57:00,4466.16,sell,2022-04-06 18:03:00,4464.7
97,2022-04-06 18:23:00,4470.45,buy,2022-04-06 18:32:00,4464.46
98,2022-04-06 18:48:00,4474.43,buy,2022-04-06 18:57:00,4472.48
99,2022-04-06 19:14:00,4466.96,sell,2022-04-06 19:23:00,4463.82
100,2022-04-06 20:23:00,4472.69,buy,2022-04-06 20:46:00,4478.79
101,2022-04-06 20:59:00,4475.85,sell,2022-04-06 21:00:00,4480.39
102,2022-04-07 02:38:00,4472.73,sell,2022-04-07 03:02:00,4466.0
103,2022-04-07 04:44:00,4472.67,buy,2022-04-07 04:49:00,4472.16
104,2022-04-07 09:10:00,4471.45,buy,2022-04-07 09:20:00,4471.7
105,2022-04-07 10:13:00,4485.05,buy,2022-04-07 10:19:00,4482.68
106,2022-04-07 10:31:00,4480.45,sell,2022-04-07 10:47:00,4481.21
107,2022-04-07 10:59:00,4477.05,sell,2022-04-07 11:06:00,4478.94
108,2022-04-07 11:49:00,4482.93,buy,2022-04-07 12:04:00,4486.31
109,2022-04-07 14:08:00,4498.6,buy,2022-04-07 14:09:00,4489.07
110,2022-04-07 15:06:00,4481.99,sell,2022-04-07 15:19:00,4480.05
111,2022-04-07 15:55:00,4471.66,sell,2022-04-07 16:01:00,4473.64
112,2022-04-07 16:34:00,4476.94,buy,2022-04-07 16:44:00,4478.84
113,2022-04-07 17:20:00,4472.01,sell,2022-04-07 17:25:00,4475.51
114,2022-04-07 17:35:00,4478.43,buy,2022-04-07 17:39:00,4471.69
115,2022-04-07 17:55:00,4468.89,buy,2022-04-07 18:07:00,4466.9
116,2022-04-07 18:29:00,4459.38,sell,2022-04-07 18:38:00,4459.38
117,2022-04-07 18:54:00,4454.08,sell,2022-04-07 19:02:00,4459.8
118,2022-04-07 19:10:00,4465.87,buy,2022-04-07 19:16:00,4461.13
119,2022-04-07 19:49:00,4450.13,sell,2022-04-07 19:51:00,4454.96
120,2022-04-07 20:01:00,4457.02,buy,2022-04-07 20:24:00,4474.64
121,2022-04-07 20:56:00,4485.77,buy,2022-04-07 21:06:00,4486.46
122,2022-04-07 21:19:00,4484.13,sell,2022-04-07 21:25:00,4491.47
123,2022-04-07 21:47:00,4491.32,buy,2022-04-07 22:07:00,4510.61
