,date_open,price_open,date_close,price_close,type,total,total_sum
0,2022-03-30 15:14:00,4611.28,2022-03-30 15:27:00,4610.28,sell,1.0,1.0
1,2022-03-30 15:36:00,4616.86,2022-03-30 15:44:00,4614.59,buy,-2.269999999999527,-1.269999999999527
2,2022-03-30 15:49:00,4610.96,2022-03-30 15:56:00,4613.44,sell,-2.4799999999995634,-3.7499999999990905
3,2022-03-30 16:20:00,4617.78,2022-03-30 16:36:00,4619.57,buy,1.7899999999999636,-1.9599999999991269
4,2022-03-30 16:38:00,4615.27,2022-03-30 16:48:00,4619.86,sell,-4.589999999999236,-6.549999999998363
5,2022-03-30 16:49:00,4621.46,2022-03-30 17:06:00,4620.72,buy,-0.7399999999997817,-7.289999999998145
6,2022-03-30 17:08:00,4619.76,2022-03-30 17:14:00,4624.86,sell,-5.099999999999454,-12.389999999997599
7,2022-03-30 17:21:00,4619.71,2022-03-30 17:36:00,4619.88,sell,-0.17000000000007276,-12.559999999997672
8,2022-03-30 17:40:00,4618.86,2022-03-30 17:52:00,4620.18,buy,1.3200000000006185,-11.239999999997053
9,2022-03-30 17:58:00,4615.13,2022-03-30 18:13:00,4607.55,sell,7.579999999999927,-3.659999999997126
10,2022-03-30 18:19:00,4610.65,2022-03-30 18:25:00,4608.1,buy,-2.5499999999992724,-6.209999999996398
11,2022-03-30 18:36:00,4611.02,2022-03-30 18:53:00,4609.76,buy,-1.2600000000002183,-7.469999999996617
12,2022-03-30 19:02:00,4616.62,2022-03-30 19:07:00,4608.22,buy,-8.399999999999636,-15.869999999996253
13,2022-03-30 20:07:00,4609.9,2022-03-30 20:14:00,4612.47,sell,-2.5700000000006185,-18.43999999999687
14,2022-03-30 20:23:00,4607.62,2022-03-30 20:33:00,4607.48,sell,0.14000000000032742,-18.299999999996544
15,2022-03-30 21:05:00,4606.15,2022-03-30 21:16:00,4604.07,buy,-2.0799999999999272,-20.37999999999647
16,2022-03-30 21:19:00,4603.24,2022-03-30 21:30:00,4603.32,sell,-0.07999999999992724,-20.4599999999964
17,2022-03-30 21:43:00,4599.65,2022-03-30 21:55:00,4599.69,sell,-0.03999999999996362,-20.499999999996362
18,2022-03-30 22:20:00,4586.44,2022-03-30 22:27:00,4587.98,sell,-1.5399999999999636,-22.039999999996326
19,2022-03-31 03:13:00,4609.65,2022-03-31 03:48:00,4616.5,buy,6.850000000000364,-15.189999999995962
20,2022-03-31 10:17:00,4615.82,2022-03-31 10:29:00,4615.12,buy,-0.6999999999998181,-15.88999999999578
